date,TOD,site,pit_tag,sq_ID,sex,repro_cond,midden,rattle_no,beg_time_s,end_time_s,rattledur_s,distance,angle,weight_g
06/21/25,0622,WM,982.126.053.034.645,5212,F,unk,6383,2,616.033,631.977,15.944,12.1,58.8,230
06/21/25,0601,WM,982.126.053.034.645,5212,F,unk,6383,3,295.74,298.16,2.42,9.2,60,230
06/21/25,0725,WM,982.126.053.034.645,5212,F,unk,6383,4,31.523,36.9,5.377,8.6,59.1,230
07/21/25,0758,WM,982.126.053.020.084,5213,F,recent.lact,6396,1,34.216,38.765,4.549,15.9,34,220
07/21/25,0809,WM,982.126.053.020.084,5213,F,recent.lact,6396,2,700.687,702.934,2.247,13.1,25.2,220
07/21/25,0845,WM,982.126.053.020.084,5213,F,recent.lact,6396,3,856.605,858.703,2.098,12.8,52.4,220
07/21/25,0853,WM,982.126.053.020.084,5213,F,recent.lact,6396,4,423.098,427.41,4.312,11.3,51.4,220
07/21/25,1419,WM,982.126.053.020.084,5213,F,recent.lact,6396,5,437.332,446.596,9.264,11,47.8,220
07/21/25,0658,WM,982.126.053.017.095,6225,F,estrus,6399,1,371.164,379.263,8.099,15.6,69,190
07/21/25,0659,WM,982.126.053.017.095,6225,F,estrus,6399,2,444.519,452.262,7.743,17.5,70.2,190
07/21/25,0702,WM,982.126.053.017.095,6225,F,estrus,6399,3,593.659,600.763,7.104,11.7,73,190
07/21/25,0703,WM,982.126.053.017.095,6225,F,estrus,6399,4,654.223,660.806,6.583,11.2,76,190
07/21/25,0704,WM,982.126.053.017.095,6225,F,estrus,6399,5,684.906,694.639,9.733,11.2,76,190
07/21/25,1002,WM,982.126.083.036.873,5222,F,unk,6397,1,118.4,124.608,6.208,15.7,64,210
07/26/25,0710,WM,982.126.083.036.873,5222,F,unk,6397,2,852.645,854.175,1.53,11.2,19,210
07/25/25,1655,WM,982.126.083.036.873,5222,F,unk,6397,3,297.209,300.058,2.849,18.9,62,210
07/25/25,1703,WM,982.126.083.036.873,5222,F,unk,6397,4,785.423,787.925,2.502,12.5,43.4,210
07/26/25,0717,WM,982.126.083.036.873,5222,F,unk,6397,5,347.848,349.983,2.135,11.6,21.5,210
07/25/25,1645,WM,982.126.083.036.873,5222,F,unk,6397,6,587.565,597.104,9.539,9.1,63.2,210
07/27/25,0635,WM,,9011,M,non.repro,6403,1,389.55,392.373,2.823,9.2,40.4,240
07/27/25,0637,WM,,9011,M,non.repro,6403,2,544.505,549.322,4.817,7.8,40.8,240
07/27/25,0640,WM,,9011,M,non.repro,6403,3,706.83,711.441,4.611,9.9,49.2,240
07/27/25,0645,WM,,9011,M,non.repro,6403,4,65.436,67.743,2.307,7.9,41.2,240
07/27/25,0657,WM,,9011,M,non.repro,6403,5,807.956,809.784,1.828,10.8,50.6,240
07/27/25,0648,WM,,9011,M,non.repro,6403,6,65.34,67.896,2.556,7.9,41.2,240
07/21/25,0838,WM,982.126.052.698.977,5220,M,unk,6400,1,820.119,826.798,6.679,12.2,21.8,230
07/21/25,0952,WM,982.126.052.698.977,5220,M,unk,6400,2,516.633,517.877,1.244,8.5,29,230
07/21/25,0957,WM,982.126.052.698.977,5220,M,unk,6400,3,827.207,829.282,2.075,8.9,23.7,230
07/22/25,0557,WM,982.126.052.698.977,5220,M,unk,6400,4,177.665,181.982,4.317,7.6,18.2,230
07/22/25,0616,WM,982.126.052.698.977,5220,M,unk,6400,5,199.395,202.481,3.086,11.6,47.4,230
07/20/25,1530,WM,,5224,F,unk,6398,1,347.037,350.141,3.104,14.2,35,230
07/20/25,1535,WM,,5224,F,unk,6398,2,542.783,545.479,2.696,11.4,23.2,230
07/20/25,1608,WM,,5224,F,unk,6398,3,805.576,809.071,3.495,11,51,230
07/20/25,1619,WM,,5224,F,unk,6398,4,279.856,283.977,4.121,12,57,230
07/20/25,1634,WM,,5224,F,unk,6398,5,328.932,332.421,3.489,13.2,6,230
07/31/25,0740,MG,982.126053062696,1259,M,part.scrotal,1160,1,611.066,615.048,3.982,7.4,61.8,210
07/31/25,0744,MG,982.126053062696,1259,M,part.scrotal,1160,2,846.428,853.496,7.068,9.8,60.4,210
06/06/25,0647,MG,982.126053062696,1259,M,part.scrotal,1160,3,10.536,20.134,9.598,7.7,47.9,210
06/06/25,0740,MG,982.126053062696,1259,M,part.scrotal,1160,4,391.335,417.73,26.395,10.9,61,210
06/06/25,0947,MG,982.126053062696,1259,M,part.scrotal,1160,5,902.101,914.633,12.532,9.5,57.6,210
07/31/25,1055,MG,982.126053062262,1264,F,past.lact,1145,1,4.512,8.803,4.291,9.7,11.2,190
07/31/25,1557,MG,982.126053062262,1264,F,past.lact,1145,2,33.569,39.825,6.256,8.4,52.5,190
07/31/25,1612,MG,982.126053062262,1264,F,past.lact,1145,3,0.185,4.592,4.407,7.3,30.4,190
07/31/25,1621,MG,982.126053062262,1264,F,past.lact,1145,4,0.058,3.457,3.399,8.3,66.8,190
08/01/25,1422,MG,982.126053062262,1264,F,past.lact,1145,5,20.649,29.612,8.963,8.1,31.4,190
08/01/25,0737,MG,982.126.053.036.451,1276,M,scrotal,1150,1,0.015,2.905,2.89,10,35.2,260
08/01/25,0753,MG,982.126.053.036.451,1276,M,scrotal,1150,2,4.553,10.357,5.804,11.6,28.2,260
08/01/25,0906,MG,982.126.053.036.451,1276,M,scrotal,1150,3,4.525,9.772,5.247,10.6,64.8,260
08/01/25,1043,MG,982.126.053.036.451,1276,M,scrotal,1150,4,0.004,3.13,3.126,8.6,17.2,260
08/01/25,1144,MG,982.126.053.036.451,1276,M,scrotal,1150,5,4.577,8.881,4.304,7.7,10.7,260
08/02/25,0838,MG,982.126053026120,1275,M,part.scrotal,1133,1,4.384,16.462,12.078,11.4,52.9,240
08/02/25,0910,MG,982.126053026120,1275,M,part.scrotal,1133,2,274.05,285.477,11.427,7.8,58,240
08/02/25,1110,MG,982.126053026120,1275,M,part.scrotal,1133,3,1.422,10.26,8.838,12.8,61.4,240
08/03/25,0950,MG,982.126053026120,1275,M,part.scrotal,1133,4,3.037,8.325,5.288,13.1,52,240
08/19/25,0726,MG,982.126053026120,1275,M,part.scrotal,1133,5,251.238,253.269,2.031,6.4,10.6,240
06/05/25,1650,MG,982.126053060357,1268,F,non.repro,1155,1,356.444,359.625,3.181,8,28.4,220
06/05/25,1700,MG,982.126053060357,1268,F,non.repro,1155,2,347.654,359.354,11.7,16.4,24.6,220
06/05/25,1706,MG,982.126053060357,1268,F,non.repro,1155,3,698.657,708.029,9.372,8.8,55.6,220
06/05/25,1807,MG,982.126053060357,1268,F,non.repro,1155,4,613.424,616.022,2.598,12.4,56.8,220
06/06/25,0515,MG,982.126053060357,1268,F,non.repro,1155,5,805.723,811.945,6.222,10.3,54,220
08/02/25,0939,MG,982.126.052.301.325,1278,M,scrotal,8079,1,1.982,17.216,15.234,11,52,260
08/02/25,1009,MG,982.126.052.301.325,1278,M,scrotal,8079,2,860.646,871.65,11.004,10,85.1,260
08/03/25,0931,MG,982.126.052.301.325,1278,M,scrotal,8079,3,0.836,11.015,10.179,13.2,65.2,260
08/03/25,0953,MG,982.126.052.301.325,1278,M,scrotal,8079,4,4.245,15.484,11.239,14.8,59.1,260
08/03/25,1006,MG,982.126.052.301.325,1278,M,scrotal,8079,5,775.159,785.015,9.856,9.9,52.2,260
08/02/25,1024,MG,982.126053020630,1279,F,non.repro,8076,1,4.542,12.523,7.981,8.9,33.3,210
08/02/25,1026,MG,982.126053020630,1279,F,non.repro,8076,2,155.489,171.142,15.653,8.1,37.1,210
08/02/25,1033,MG,982.126053020630,1279,F,non.repro,8076,3,569.95,589.202,19.252,8.3,65.4,210
08/03/25,0806,MG,982.126053020630,1279,F,non.repro,8076,4,32.275,37.632,5.357,11.1,58.3,210
08/03/25,0807,MG,982.126053020630,1279,F,non.repro,8076,5,25.869,29.524,3.655,11.1,58.3,210
08/02/25,1610,MG,982.126.052.305.552,1280,M,scrotal,8072,1,7.165,13.774,6.609,7.3,11.8,250
08/02/25,1617,MG,982.126.052.305.552,1280,M,scrotal,8072,2,361.204,372.252,11.048,11.3,54.1,250
08/03/25,0907,MG,982.126.052.305.552,1280,M,scrotal,8072,3,20.199,32.935,12.736,7.9,15.1,250
08/03/25,0908,MG,982.126.052.305.552,1280,M,scrotal,8072,4,57.358,60.653,3.295,7.9,15.1,250
08/03/25,0911,MG,982.126.052.305.552,1280,M,scrotal,8072,5,323.814,333.995,10.181,10.8,59.6,250
08/09/25,0719,MG,982.126053030266,1282,M,scrotal,8075,1,4.384,28.349,23.965,7.2,40,220
08/09/25,0800,MG,982.126053030266,1282,M,scrotal,8075,2,4.336,15.297,10.961,7.4,35.2,220
08/09/25,0806,MG,982.126053030266,1282,M,scrotal,8075,3,335.603,346.331,10.728,7.4,35.8,220
08/09/25,0830,MG,982.126053030266,1282,M,scrotal,8075,4,0.057,10.753,10.696,7.9,25.3,220
08/09/25,0857,MG,982.126053030266,1282,M,scrotal,8075,5,2.994,11.083,8.089,7,33,220
08/09/25,1011,MG,982.126053018941,1273,F,non.repro,1186,1,0.027,6.046,6.019,9.5,6.7,200
08/09/25,1021,MG,982.126053018941,1273,F,non.repro,1186,2,615.204,617.317,2.113,7.4,2.9,200
08/09/25,1022,MG,982.126053018941,1273,F,non.repro,1186,3,664.2499,672.726,8.4761,11.7,57.1,200
08/09/25,1027,MG,982.126053018941,1273,F,non.repro,1186,4,0.049,7.912,7.863,8.9,49.6,200
08/09/25,1032,MG,982.126053018941,1273,F,non.repro,1186,5,310.535,323.212,12.677,8.9,49.4,200
08/09/25,1500,MG,982.126052700901,1289,F,past.lact,2266,1,0.05,7.117,7.067,7.3,9.8,220
08/09/25,1534,MG,982.126052700901,1289,F,past.lact,2266,2,322.042,337.135,15.093,7.1,8.3,220
