date,TOD,site,pit_tag,sq_ID,sex,repro_cond,midden,rattle_no,beg_time_s,end_time_s,rattledur_s,distance,angle,weight_g
7/6/2025,603,WM,982.126.053.016.225,5210,F,past.lact,6414,3,0.036,3.641,3.605,12.4,69.8,200
7/6/2025,621,WM,982.126.053.016.225,5210,F,past.lact,6414,4,0.053,1.815,1.762,8.2,11.6,200
7/6/2025,631,WM,982.126.053.016.225,5210,F,past.lact,6414,5,0.031,1.741,1.71,10,17.5,200
6/21/2025,557,WM,982.126.053.036.548,5211,F,unk,6459,1,0.101,1.739,1.638,9.2,52.4,190
6/21/2025,611,WM,982.126.053.036.548,5211,F,unk,6459,2,0.07,0.899,0.829,9.5,29.3,190
6/21/2025,645,WM,982.126.053.036.548,5211,F,unk,6459,3,0.049,2.495,2.446,9.9,42.3,190
7/5/2025,609,WM,982.126.053.036.548,5211,F,unk,6459,4,0.41,1.03,0.62,10.1,39,190
7/5/2025,601,WM,982.126.053.036.548,5211,F,unk,6459,5,0.032,1.302,1.27,10.1,39,190
7/26/2025,608,WM,982.126.053.025.901,5221,F,unk,6394,1,0.047,2.751,2.704,8.7,61.2,210
7/26/2025,642,WM,982.126.053.025.901,5221,F,unk,6394,2,0.021,3.99,3.969,11.4,27,210
7/26/2025,648,WM,928.126.053.025.901,5221,F,unk,6394,3,0.19,2.136,1.946,11.8,61.6,210
7/26/2025,720,WM,982.126.053.025.901,5221,F,unk,6394,4,0.021,4.804,4.783,15.1,65,210
7/26/2025,727,WM,982.126.053.025.901,5221,F,unk,6394,5,0.074,1.239,1.165,13.4,45,210
6/20/2025,518,WM,982.126.053.035.493,5216,F,poss.preg,6372,1,0.03,1.715,1.685,15.4,27.8,200
6/20/2025,520,WM,982.126.053.035.493,5216,F,poss.preg,6372,2,0.036,1.942,1.906,14.1,32.4,200
6/20/2025,525,WM,982.126.053.035.493,5216,F,poss.preg,6372,3,0.073,1.269,1.196,13.7,21.2,200
6/20/2025,530,WM,982.126.053.035.493,5216,F,poss.preg,6372,4,0.041,1.326,1.285,14.1,22.6,200
6/20/2025,536,WM,982.126.053.035.493,5216,F,poss.preg,6372,5,0.103,1.7,1.597,11.8,3.8,200
7/19/2025,1750,WM,982.126.053.019.253,5201,M,part.scrotal,6391,1,279.048,287.563,8.515,15.7,42.7,
7/20/2025,1445,WM,982.126.053.019.253,5201,M,part.scrotal,6391,2,383.349,387.323,3.974,12.1,34.8,
7/20/2025,1525,WM,982.126.053.019.253,5201,M,part.scrotal,6391,3,391.302,395.818,4.516,10.2,43.4,
7/20/2025,1725,WM,982.126.053.019.253,5201,M,part.scrotal,6391,4,490.542,497.995,7.453,11.6,34,
6/21/2025,617,WM,982.126.053.034.645,5212,F,unk,6383,1,307.091,315.309,8.218,12.8,59,
6/21/2025,622,WM,982.126.053.034.645,5212,F,unk,6383,2,616.033,631.977,15.944,12.1,58.8,
6/21/2025,601,WM,982.126.053.034.645,5212,F,unk,6383,3,295.74,298.16,2.42,9.2,60,
6/21/2025,725,WM,982.126.053.034.645,5212,F,unk,6383,4,31.523,36.9,5.377,8.6,59.1,
7/21/2025,758,WM,982.126.053.020.084,5213,F,recent.lact,6396,1,34.216,38.765,4.549,15.9,34,
7/21/2025,809,WM,982.126.053.020.084,5213,F,recent.lact,6396,2,700.687,702.934,2.247,13.1,25.2,
7/21/2025,845,WM,982.126.053.020.084,5213,F,recent.lact,6396,3,856.605,858.703,2.098,12.8,52.4,
7/21/2025,853,WM,982.126.053.020.084,5213,F,recent.lact,6396,4,423.098,427.41,4.312,11.3,51.4,
7/21/2025,1419,WM,982.126.053.020.084,5213,F,recent.lact,6396,5,437.332,446.596,9.264,11,47.8,
7/21/2025,658,WM,982.126.053.017.095,6225,F,estrus,6399,1,371.164,379.263,8.099,15.6,69,190
7/21/2025,659,WM,982.126.053.017.095,6225,F,estrus,6399,2,444.519,452.262,7.743,17.5,70.2,190
7/21/2025,702,WM,982.126.053.017.095,6225,F,estrus,6399,3,593.659,600.763,7.104,11.7,73,190
7/21/2025,703,WM,982.126.053.017.095,6225,F,estrus,6399,4,654.223,660.806,6.583,11.2,76,190
7/21/2025,704,WM,982.126.053.017.095,6225,F,estrus,6399,5,684.906,694.639,9.733,11.2,76,190
7/21/2025,1002,WM,982.126.083.036.873,5222,F,unk,6397,1,118.4,124.608,6.208,15.7,64,210
